wind_chill,heat_index,temp_dew_interaction,pressure_temp_index,sunrise_roll_mean_20,sunrise_roll_max_20,feelslikemin,sunrise_roll_max_7,sunrise_roll_min_20,winddir,windspeed,solar_temp_index,windgust,solar_temp_index_roll_max_20,feelslike,temp_dew_interaction_roll_mean_20,sunset_roll_max_20,sealevelpressure_roll_mean_20,sunrise,day_cos_roll_min_20,sealevelpressure,feelslikemax,temp,sunrise_roll_max_5,solarradiation,temp_dew_interaction_roll_max_20,dew_roll_min_20,tempmax,pressure_temp_index_roll_max_10,temp_range,wind_temp_index,wind_variability,sunset_roll_max_3,temp_roll_mean_20,feelslike_lag_1
31.71439250864046,25.760499999999997,753.01,29522.68,5.744166666666667,5.744166666666667,30.5,5.744166666666667,5.744166666666667,94.8,15.7,4163.53,19.4,4163.53,35.4,753.01,17.925833333333333,1007.6,5.744166666666667,-0.18399835165767986,1007.6,41.7,29.3,5.744166666666667,142.1,753.01,25.7,33.0,29522.68,6.300000000000001,460.01,3.6999999999999993,17.925833333333333,29.3,35.4
28.599303690829814,23.236099999999997,651.24,26966.160000000003,5.744166666666667,5.744166666666667,25.0,5.744166666666667,5.744166666666667,82.4,17.6,1825.08,23.0,4163.53,29.2,753.01,17.925833333333333,1007.6,5.748333333333333,-0.18399835165767986,1006.2,34.4,26.8,5.744166666666667,68.1,753.01,25.7,29.5,29522.68,4.5,471.68000000000006,5.399999999999999,17.925833333333333,29.3,35.4
27.462888365233546,22.4435,626.78,26063.17,5.74625,5.748333333333333,25.0,5.748333333333333,5.744166666666667,56.7,18.4,2116.0299999999997,20.5,4163.53,26.5,702.125,17.925833333333333,1006.9000000000001,5.752222222222223,-0.18399835165767986,1006.3,32.8,25.9,5.748333333333333,81.7,753.01,24.3,28.5,29522.68,3.5,476.55999999999995,2.1000000000000014,17.925833333333333,28.05,29.2
30.098336663790082,24.5514,711.1999999999999,28196.0,5.748240740740741,5.752222222222223,25.5,5.752222222222223,5.744166666666667,85.9,17.5,3900.4000000000005,25.2,4163.53,32.0,677.01,17.925833333333333,1006.6999999999999,5.756388888888889,-0.18399835165767986,1007.0,39.7,28.0,5.752222222222223,139.3,753.01,24.2,31.3,29522.68,5.800000000000001,490.0,7.699999999999999,17.925833333333333,27.333333333333332,26.5
32.47010746354285,26.368800000000004,774.41,30025.58,5.750277777777778,5.756388888888889,26.5,5.756388888888889,5.744166666666667,117.7,17.5,6682.65,23.4,4163.53,36.4,685.5575,17.925833333333333,1006.775,5.760555555555555,-0.18399835165767986,1004.2,43.5,29.9,5.756388888888889,223.5,753.01,24.2,34.5,29522.68,8.0,523.25,5.899999999999999,17.91,27.5,32.0
33.20946981281715,27.0053,805.1999999999999,30594.55,5.7523333333333335,5.760555555555555,32.4,5.760555555555555,5.744166666666667,100.4,16.6,6896.05,24.8,6682.65,38.5,703.328,17.925833333333333,1006.26,5.764722222222222,-0.18399835165767986,1003.1,44.0,30.5,5.760555555555555,226.1,774.41,24.2,34.5,30025.58,7.100000000000001,506.30000000000007,8.2,17.894166666666667,27.98,36.4
30.847671828570665,25.1174,732.1600000000001,28768.74,5.754398148148148,5.764722222222222,31.0,5.764722222222222,5.744166666666667,75.5,16.7,3883.8800000000006,28.1,6896.05,34.3,720.3066666666667,17.925833333333333,1005.7333333333332,5.768888888888889,-0.18399835165767986,1005.9,40.9,28.6,5.764722222222222,135.8,805.1999999999999,24.2,30.9,30594.55,3.8999999999999986,477.62,11.400000000000002,17.878333333333334,28.400000000000002,38.5
32.074661699089596,26.043499999999998,757.7600000000001,29824.960000000003,5.7564682539682535,5.768888888888889,26.3,5.768888888888889,5.744166666666667,127.5,13.9,4428.16,16.6,6896.05,35.4,722.0,17.925833333333333,1005.7571428571429,5.773055555555556,-0.18399835165767986,1007.6,42.1,29.6,5.768888888888889,149.6,805.1999999999999,24.2,34.1,30594.55,7.800000000000001,411.44000000000005,2.700000000000001,17.8625,28.428571428571427,34.3
32.94249647694035,26.6255,766.59,30539.37,5.758541666666667,5.773055555555556,31.2,5.773055555555556,5.744166666666667,110.9,14.8,6514.5,20.9,6896.05,36.5,726.47,17.925833333333333,1005.9875,5.7775,-0.18399835165767986,1007.9,40.9,30.3,5.773055555555556,215.0,805.1999999999999,24.2,34.1,30594.55,7.100000000000001,448.44000000000005,6.099999999999998,17.846666666666664,28.575,35.4
33.53173937006129,27.058,776.16,31040.239999999998,5.760648148148148,5.7775,31.2,5.7775,5.744166666666667,44.0,13.0,6816.040000000001,17.6,6896.05,37.0,730.9277777777778,17.925833333333333,1006.1999999999999,5.781666666666666,-0.18399835165767986,1007.8,41.6,30.8,5.7775,221.3,805.1999999999999,24.2,35.5,30594.55,8.5,400.40000000000003,4.600000000000001,17.83111111111111,28.766666666666666,36.5
32.44980924774127,26.025700000000004,726.5699999999999,30210.96,5.76275,5.781666666666666,25.5,5.781666666666666,5.744166666666667,97.7,14.8,5660.07,20.9,6896.05,34.8,735.451,17.925833333333333,1006.36,5.786111111111111,-0.18399835165767986,1010.4,39.3,29.9,5.781666666666666,189.3,805.1999999999999,24.2,34.0,31040.239999999998,8.5,442.52,6.099999999999998,17.81527777777778,28.97,37.0
