heat_index,wind_chill,sunrise_roll_min_20,feelslike,sunrise_roll_max_20,temp_dew_interaction,tempmin,winddir,dew,sunset_roll_max_20,sunrise_roll_mean_7,sealevelpressure,solar_temp_index,pressure_temp_index,windspeed,solarradiation,sunrise_roll_max_10,sunrise_lag_5,tempmin_roll_std_20,windgust,sunrise,humidity_roll_std_3,feelslikemax_roll_max_3,wind_variability_roll_std_20,temp_dew_interaction_roll_min_20,sealevelpressure_roll_mean_5,precip,wind_temp_index_roll_std_7,sunrise_roll_mean_5,precip_roll_std_7,feelslikemax_lag_2,sunrise_roll_min_7,precip_lag_1,sunset_roll_mean_7,sealevelpressure_lag_2
21.4433,27.290616901443087,5.967222222222222,26.4,5.967222222222222,524.28,21.0,339.6,20.4,17.370833333333334,5.967222222222222,1013.8,5140.0,26054.66,14.1,200.0,5.967222222222222,5.967222222222222,0.3535533905932738,35.3,5.967222222222222,12.37436867076459,31.6,0.565685424949241,524.28,1013.8,0.0,96.31501466541958,5.967222222222222,0.0,31.6,5.967222222222222,0.0,17.370833333333334,1013.8
20.620800000000003,27.196228882485897,5.967222222222222,25.8,5.967222222222222,411.2,21.5,356.9,16.0,17.370833333333334,5.967222222222222,1014.8,4615.719999999999,26080.359999999997,19.4,179.6,5.967222222222222,5.967222222222222,0.3535533905932738,41.4,5.9752777777777775,12.37436867076459,31.6,0.565685424949241,524.28,1013.8,0.0,96.31501466541958,5.967222222222222,0.0,31.6,5.967222222222222,0.0,17.370833333333334,1013.8
19.117500000000003,25.6621759892327,5.967222222222222,24.3,5.9752777777777775,330.75,20.3,326.5,13.5,17.370833333333334,5.9712499999999995,1014.2,5676.65,24847.9,20.5,231.7,5.9752777777777775,5.967222222222222,0.3535533905932738,38.9,5.983333333333333,12.37436867076459,31.6,0.565685424949241,411.2,1014.3,0.0,96.31501466541958,5.9712499999999995,0.0,31.6,5.967222222222222,0.0,17.365972222222226,1013.8
17.914,23.950954544057396,5.967222222222222,22.8,5.983333333333333,326.59999999999997,17.5,324.7,14.2,17.370833333333334,5.9752777777777775,1011.9,5395.8,23273.7,14.8,234.6,5.983333333333333,5.967222222222222,0.6027713773341704,22.3,5.991666666666667,11.397514348897898,31.6,1.8903262505010434,330.75,1014.2666666666668,0.0,79.72143939995061,5.9752777777777775,0.0,29.9,5.967222222222222,0.0,17.3612962962963,1014.8
18.3916,24.6156877585514,5.967222222222222,23.3,5.991666666666667,353.34,17.0,309.4,15.1,17.370833333333334,5.979375,1013.2,5337.54,23708.88,10.5,228.1,5.991666666666667,5.967222222222222,1.7858238061652851,21.2,6.0,4.775283586692358,29.9,6.696952043031715,326.59999999999997,1013.675,0.0,86.52170402082162,5.979375,0.0,29.0,5.967222222222222,0.0,17.35666666666667,1014.2
19.407900000000005,25.54813965047809,5.967222222222222,24.2,6.0,406.56,19.0,341.6,16.8,17.370833333333334,5.9835,1016.2,4970.68,24592.04,11.2,205.4,6.0,5.967222222222222,2.069541011915444,25.9,6.008611111111111,5.729746940310721,29.1,6.502537966056022,326.59999999999997,1013.5799999999999,0.0,110.04050140743632,5.9835,0.0,28.4,5.967222222222222,0.0,17.35216666666667,1011.9
19.731300000000005,25.559888933740062,5.967222222222222,24.4,6.008611111111111,424.55999999999995,20.4,63.5,17.4,17.370833333333334,5.987685185185185,1018.1,5258.2,24841.64,19.4,215.5,6.008611111111111,5.9752777777777775,1.8605554726120546,30.2,6.017222222222222,1.9467922333931895,29.7,5.838749866195673,326.59999999999997,1014.0600000000001,0.0,109.72767028724643,5.991777777777778,0.0,29.1,5.967222222222222,0.0,17.34777777777778,1013.2
18.9528,24.744783668115794,5.967222222222222,23.6,6.017222222222222,420.65,20.0,78.1,17.9,17.370833333333334,5.991904761904762,1017.6,4920.900000000001,23913.600000000002,10.3,209.4,6.017222222222222,5.983333333333333,1.7413732949545744,16.6,6.026111111111111,2.5579940057266217,29.7,5.648851547839065,326.59999999999997,1014.72,0.0,107.5080427777604,6.000166666666667,0.0,29.7,5.967222222222222,0.0,17.34349206349206,1016.2
19.2226,24.82507739930817,5.967222222222222,23.8,6.026111111111111,441.32,19.0,94.9,18.7,17.370833333333334,6.00031746031746,1016.5,3650.92,23989.4,11.2,154.7,6.026111111111111,5.991666666666667,1.6207912529731534,15.8,6.035277777777778,3.415162270424815,29.7,6.075007348614014,326.59999999999997,1015.4,0.0,120.52499185606591,6.0087222222222225,0.0,28.8,5.9752777777777775,0.0,17.334801587301587,1018.1
19.716199999999997,25.30584442435483,5.967222222222222,24.4,6.035277777777778,457.90000000000003,20.0,72.5,19.0,17.370833333333334,6.0088888888888885,1016.5,4827.2300000000005,24497.65,14.8,200.3,6.035277777777778,6.0,1.5287067882509202,15.1,6.0441666666666665,3.9627431576286827,28.9,6.481212163716838,326.59999999999997,1016.32,0.0,110.1824316002026,6.017444444444445,0.0,28.3,5.983333333333333,0.0,17.326428571428572,1017.6
20.083800000000004,25.728939767273907,5.967222222222222,24.7,6.0441666666666665,473.35999999999996,19.5,97.9,19.4,17.370833333333334,6.0175793650793645,1016.3,4677.48,24797.719999999998,13.0,191.7,6.0441666666666665,6.008611111111111,1.4491760110873733,16.2,6.053611111111111,1.7243356208501865,29.8,7.29676488437018,326.59999999999997,1016.9799999999999,0.0,83.73239075713026,6.026277777777778,0.0,28.9,5.991666666666667,0.0,17.318373015873014,1016.5
